time,cwnd
22.140,50668
22.140,50701
22.140,50734
22.141,50767
22.141,50800
22.141,50833
22.142,50865
22.142,50898
22.142,50931
22.143,39192
22.201,35699
22.204,17849
22.257,17943
22.262,8971
22.302,9716
22.349,4858
22.390,5202
22.474,2601
22.515,3243
22.650,2360
22.691,3068
22.900,2360
22.940,3068
23.251,2360
23.292,3776
23.748,2360
23.793,3068
24.450,2360
24.491,3068
25.087,2360
25.128,3068
25.129,2360
25.169,3068
25.171,2360
25.211,4484
25.212,2360
25.253,3068
25.254,2360
25.295,3776
25.296,2360
25.336,4484
25.338,2360
25.378,14396
25.380,7198
25.420,7430
25.421,3715
25.469,4165
25.470,2360
25.526,3068
25.527,2360
25.567,3068
25.568,2360
25.609,3068
25.610,2360
25.651,3068
25.652,2360
25.693,3068
25.694,2360
25.734,3068
25.736,2360
25.776,3068
25.777,2360
25.823,3068
25.824,2360
28.827,2360
28.868,3068
28.869,2360
28.913,4484
31.915,2360
31.957,3068
31.958,2360
31.999,3068
32.000,2360
32.055,3068
32.056,2360
32.098,4484
32.139,4857
32.139,5201
32.139,5522
32.139,5825
32.179,6111
32.179,6385
32.180,6647
32.180,6898
32.180,7140
32.220,7374
32.220,7601
32.220,7821
32.220,8034
32.220,8242
32.221,8445
32.221,8643
32.264,8836
32.265,9025
32.265,9210
32.265,9392
32.265,9570
32.265,9744
32.265,9916
32.265,10084
32.322,10599
32.362,7296
32.556,3648
32.613,4564
32.703,2360
32.743,4484
32.898,2360
32.939,3068
33.174,2360
33.214,4484
33.255,4857
33.256,5201
33.256,5522
33.256,5825
33.296,6111
33.296,6385
33.296,6647
33.296,6898
33.296,7140
33.337,7374
33.337,7601
33.337,7821
33.337,8034
33.337,8242
33.337,8445
33.338,8643
33.379,8836
33.379,9025
33.379,9210
33.379,9392
33.379,9570
33.379,9744
33.380,9916
33.380,10084
33.420,10250
33.420,10413
33.420,10573
33.420,10731
33.420,10887
33.420,11041
33.420,11192
33.420,11341
33.420,11489
33.460,11634
33.461,11778
33.461,11919
33.461,12060
33.461,12198
33.461,12335
33.461,12471
33.461,12605
33.461,12737
33.461,12868
33.501,12998
33.501,13127
33.501,13254
33.502,13380
33.502,13505
33.502,13629
33.502,13751
33.502,13873
33.502,13993
33.502,14113
33.502,14231
33.542,14348
33.542,14465
33.542,14580
33.542,14695
33.542,14809
33.542,14922
33.542,15034
33.542,15145
33.542,15255
33.543,15365
33.543,15473
33.543,15581
33.543,15689
33.583,15795
33.583,15901
33.583,16006
33.583,16110
33.583,16214
33.583,16317
33.583,16419
33.583,16521
33.583,16622
33.583,16723
33.584,16823
33.584,16922
33.584,17021
33.584,17119
33.623,17217
33.623,17314
33.624,17410
33.624,17506
33.624,17602
33.624,17697
33.624,17791
33.624,17885
33.624,17978
33.624,18071
33.624,18164
33.624,18256
33.624,18347
33.624,18438
33.625,18529
33.664,18619
33.664,18709
33.664,18798
33.664,18887
33.665,18975
33.665,19064
33.665,19151
33.665,19238
33.665,19325
33.665,19412
33.665,19498
33.665,19584
33.665,19669
33.666,19754
33.666,19838
33.666,19923
33.705,20006
33.705,20090
33.705,20173
33.705,20256
33.705,20338
33.705,20421
33.705,20502
33.705,20584
33.705,20665
33.705,20746
33.705,20826
33.706,20907
33.706,20987
33.706,21066
33.706,21146
33.706,21225
33.706,21303
33.746,21382
33.746,21460
33.746,21538
33.746,21615
33.746,21693
33.746,21770
33.746,21846
33.746,21923
33.747,21999
33.747,22075
33.747,22151
33.747,22226
33.747,22301
33.747,22376
33.747,22451
33.747,22525
33.747,22600
33.747,22673
33.747,22747
33.787,22821
33.787,22894
33.787,22967
33.787,23040
33.787,23112
33.787,23184
33.787,23256
33.787,23328
33.787,23400
33.787,23471
33.787,23543
33.787,23614
33.788,23684
33.788,23755
33.788,23825
33.788,23895
33.788,23965
33.788,24035
33.788,24104
33.788,24174
33.828,24243
33.828,24312
33.828,24381
33.828,24449
33.828,24517
33.828,24586
33.828,24654
33.828,24721
33.828,24789
33.828,24856
33.828,24924
33.828,24991
33.829,25057
33.829,25124
33.829,25191
33.829,25257
33.829,25323
33.829,25389
33.829,25455
33.829,25521
33.829,25586
33.868,25651
33.868,25716
33.869,25781
33.869,25846
33.869,25911
33.869,25975
33.869,26040
33.869,26104
33.869,26168
33.869,26232
33.869,26295
33.869,26359
33.869,26422
33.869,26486
33.870,26549
33.870,26612
33.870,26674
33.870,26737
33.870,26800
33.870,26862
33.870,26924
33.870,26986
33.909,27048
33.909,27110
33.909,27171
33.909,27233
33.910,27294
33.910,27356
33.910,27417
33.910,27478
33.910,27538
33.910,27599
33.910,27660
33.910,27720
33.910,27780
33.910,27840
33.910,27900
33.910,27960
33.910,28020
33.911,28080
33.911,28139
33.911,28199
33.911,28258
33.911,28317
33.911,28376
33.950,28435
33.950,28494
33.950,28552
33.950,28611
33.950,28669
33.950,28727
33.950,28786
33.950,28844
33.950,28902
33.950,28959
33.950,29017
33.950,29075
33.951,29132
33.951,29190
33.951,29247
33.951,29304
33.951,29361
33.951,29418
33.951,29475
33.951,29531
33.951,29588
33.951,29644
33.952,29701
33.952,29757
33.952,29813
33.990,29869
33.990,29925
33.991,29981
33.991,30037
33.991,30092
33.991,30148
33.991,30203
33.991,30259
33.991,30314
33.991,30369
33.991,30424
33.991,30479
33.991,30534
33.992,30588
33.992,30643
33.992,30698
33.992,30752
33.992,30806
33.992,30861
33.992,30915
33.992,30969
33.992,31023
33.992,31077
33.993,31130
33.993,31184
33.993,31238
34.031,31291
34.031,31344
34.031,31398
34.031,31451
34.031,31504
34.031,31557
34.032,31610
34.032,31663
34.032,31716
34.032,31768
34.032,31821
34.032,31874
34.032,31926
34.032,31978
34.032,32031
34.032,32083
34.032,32135
34.032,32187
34.032,32239
34.032,32291
34.033,32342
34.033,32394
34.033,32445
34.033,32497
34.033,32548
34.033,32600
34.033,32651
34.072,32702
34.072,32753
34.073,32804
34.073,32855
34.073,32906
34.073,32957
34.073,33008
34.073,33058
34.073,33109
34.073,33159
34.073,33210
34.073,33260
34.073,33310
34.073,33360
34.074,33410
34.074,33460
34.074,33510
34.074,33560
34.074,33610
34.074,33660
34.074,33709
34.075,33759
34.075,33808
34.075,33858
34.075,33907
34.075,33956
34.075,34006
34.075,34055
34.113,34104
34.114,34153
34.114,34202
34.114,34251
34.114,34299
34.114,34348
34.114,34397
34.114,34445
34.114,34494
34.115,34542
34.115,34591
34.115,34639
34.115,34687
34.115,34735
34.115,34783
34.116,34832
34.116,34879
34.116,34927
34.116,34975
34.116,35023
34.116,35071
34.117,35118
34.117,35166
34.117,35213
34.117,35261
34.117,35308
34.117,35356
34.117,35403
34.117,35450
34.163,35497
34.164,35544
34.164,35591
34.164,35638
34.164,35685
34.164,35732
34.165,35779
34.165,35825
34.165,35872
34.166,35919
34.166,35965
34.166,36012
34.166,36058
34.167,36104
34.167,36151
34.168,36197
34.168,36243
34.169,36289
34.169,36335
34.169,36381
34.170,36427
34.170,36473
34.170,36519
34.171,36564
34.171,36610
34.171,36656
34.172,36701
34.172,36747
34.172,36792
34.172,36838
34.173,36883
34.225,29358
34.265,25883
34.266,21658
34.307,18395
34.315,9197
34.356,9379
34.413,4690
34.453,5046
34.551,2523
34.592,3185
34.747,2360
34.788,3776
35.024,2360
35.064,3068
35.414,2360
37.287,2360
37.328,27848
37.380,27908
37.380,27968
37.381,28028
37.381,28087
37.381,28147
37.381,28206
37.381,28265
